sid	path	kind	role	preview	top_cards	basename_neighbors
SRC-0E2873D1E474	stages/stage13/archive/tasks/13-13fq/fixed-twist-hecke-contract.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	# Stage13-13fq — R07 fixed finite Hecke/ray-class twist contract | > STATUS: `R07_GATE_A_FIXED_TWIST_HECKE_CONTRACT` | > | > PURPOSE: close the R06 review objection that the finite residue twists were asserted to inherit the untwisted Gaussian-Hecke analytic properties without an equally explicit proof-facing contract. | > | > SCOPE: the nonzero angular factors arising after a fixed finite inert-prime set `S` is chosen. No estimate uniform in a modulus growing with `B` is used or needed. | ## 1. Exact source-family identification | Two source normalizations occur in the Stage13 proof. | Huang--Liu--Rudnick §2.1 uses | \[ | \Xi_k(\mathfrak a) | =\left(\frac{\alpha}{\bar\alpha}\right)^{2k} | =e^{i4k\theta_{\mathfrak a}}, | \] | and for `k != 0` | \[ | \pi^{-(s+2|k|)}\Gamma(s+2|k|)L(s,\Xi_k) | \] | is entire and satisfies the `s <-> 1-s` functional equation. | Stage13 retains Fourier exponent | \[ | m=8\ell,\qquad \ell\ge1, | \] | so the HLR index is | \[ | \boxed{k_{\rm HLR}=2\ell} | \] 	SR-STR-151:2.25:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion gate; SR-STR-155:2.18:Fixed rational-curve sub-square-root ceiling and moving-family gate; SR-STR-206:2.17:Single-prime two-square influence and primitive projective-slope transport chain; SR-STR-217:2.12:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-157:2.12:Complete rational degree-two base-change descent with split/nonsplit commuting-lift loci; SR-STR-139:2.09:Same-measure physical occupancy L1/L2/exceptional-tail equivalence	
SRC-9D279EE67C73	stages/stage13/archive/tasks/13-13fq/primary-source-checklist.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	# Stage13-13fq — primary-source checklist | This checklist separates literal source facts from Stage13 deductions. | ## Huang--Liu--Rudnick, §2.1 | Source: B. Huang, J. Liu, Z. Rudnick, *Gaussian primes in almost all narrow sectors*, arXiv:1903.04005, §2.1. | Source facts used: | ```text | Xi_k(a)=(alpha/bar(alpha))^(2k)=e^(i4k theta_a) | k != 0 => L(s,Xi_k) entire | xi(s,k)=pi^(-(s+2|k|))*Gamma(s+2|k|)*L(s,Xi_k) | xi(s,k)=xi(1-s,k) | ``` | Stage13 deduction: | ```text | m=8*ell -> k_HLR=2*ell -> gamma shift=4*ell. | ``` | ## Merikoski, §2.7 | Source: J. Merikoski, *On Gaussian primes in sparse sets*, Compositio Math. 161 (2025), §2.7. | Source facts used: | ```text | xi_j(z)=(z/|z|)^j=e^(ij arg z) | chi ranges over dual((Z[i]/u Z[i])^x) | L(s,xi_j chi) is the Gaussian Hecke L-family attached to these residue twists | ``` | Merikoski's Landau--Page statement further records that any exceptional zero in the indicated near-one region must occur with angular index `j=0`. | Stage13 deducti	SR-STR-198:2.22:Balanced Gaussian square-divisor common-core compression with CRT line rigidity; SR-STR-197:2.21:Four-root rank-one difference-kernel lattice and dual-switch residue lock; SR-STR-227:2.14:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-061:2.14:Affine-linear moving-u multisection discriminant classification; SR-STR-222:2.02:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-058:2.00:Split-factor nonisotrivial genus-one tau torsor	
SRC-70493AE98E3A	stages/stage13/archive/tasks/13-13fq/result.md	RESULT	RESEARCH_RESULT	# Stage13-13fq — result | R07 Gate A closes the fixed finite Gaussian-Hecke/ray-class twist objection raised against R06. | The repair identifies the two angular conventions exactly: | ```text | Stage13 Fourier exponent m=8*ell | HLR Xi-index k_HLR=2*ell | Merikoski angular index j=8*ell | Xi_{2*ell}=xi_{8*ell} | gamma shift=4*ell | ``` | For each fixed inert set `S`, the analytic contract is proved for the entire finite ambient Gaussian residue-character group modulo one fixed modulus `u_S`, not merely for the subset that later receives nonzero Fourier coefficients. Finite twists preserve the nonzero infinity type, have finite conductor independent of `B`, are holomorphic at `s=1`, and admit common fixed-strip polynomial growth uniform in `ell>=1` across that fixed family. | ```text | STAGE13_13FQ=COMPLETE_R07_FIXED_TWIST_HECKE_CONTRACT | R07_GATE_A=COMPLETE | R07_FIXED_TWIST_FAMILY_EXPLICIT=true | R07_FIXED_TWIST_PRIMARY_CONTRACT_VERIFIED=true | R07_HLR_TO_MERIKOSKI_TRANSLATION=Xi_{2	SR-STR-165:2.43:Gaussian quadratic-Hecke large-sieve transfer with ray-class correction; SR-STR-151:2.37:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion gate; SR-STR-222:2.31:Fixed-U canonical-LPF projective Gaussian residue receiver chain; SR-STR-155:2.18:Fixed rational-curve sub-square-root ceiling and moving-family gate; SR-STR-200:2.14:Primitive common-core Gaussian root-line spacing and dual Cayley orientation compression; SR-STR-217:2.12:Collective fixed-degree stratum proliferation reverse-count budget	SRC-F4C4521CAF2D|stages/stage13/archive/tasks/13-13b/result.md|SR-STR-031,SR-STR-227; SRC-E5931D885808|stages/stage13/archive/tasks/13-13fd/result.md|SR-STR-227; SRC-E23C616B64A2|stages/stage14/archive/tasks/14-s7-13/result.md|SR-STR-196; SRC-DE9B8953CBE7|stages/stage13/archive/tasks/13-12aa/result.md|SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227
SRC-1F02135E3A4D	stages/stage13/archive/tasks/13-13fr/README.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	# Stage13-13fr | R07 Gate B: concrete fixed-S residue / pole-signature closure. | The gate replaces abstract `Omega_{p,nu}` bookkeeping by the explicit inert local model | ```text | U, R_b, S_c | Omega_{p,U}: X^2+Y^2=1, Delta^2-Z^2=1 | W_p=1_{X^2+Z^2 in QR_0(F_p)} | ``` | and proves the global-second-face implication, exact `lambda_p`, effective quotient well-definedness, principal-sector multiplier, termwise nonprincipal pole loss, and fixed-S tagged injection in those same coordinates. | ```text | STAGE13_13FR=COMPLETE_R07_CONCRETE_FIXED_S_RESIDUE_MODEL | R07_GATE_B=COMPLETE | R07_REPAIR_BLOCKERS_OPEN=1 | NEXT=13-13fs | ```	SR-STR-057:1.88:Toric master space-diagonal receiver on the two-face host; SR-STR-073:1.84:Space-filtered fixed-tau genus-one fiber; SR-STR-152:1.68:Already-space pair-overlap thinning for the second-face transition; SR-STR-063:1.67:Tau pushforward invariant and collision receiver; SR-STR-017:1.67:Euler third-face local blocker law and dimension-two sieve; SR-STR-003:1.63:Degree-two K3 cover of the two-face toric Euler-brick host	SRC-88BE6A73D6E6|stages/stage14/data/14-num-alpha11-diag10/README.md|SR-STR-034; SRC-7CE38CB1702B|stages/stage15/README.md|SR-STR-001,SR-STR-039,SR-STR-144; SRC-3E1FDACA4EC9|stages/stage14/data/14-s4c/README.md|SR-STR-217
SRC-0929BAD356A5	stages/stage13/archive/tasks/13-13fr/concrete-fixed-s-residue-model.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	# Stage13-13fr — R07 concrete fixed-S residue model | > STATUS: `STAGE13_13FR_R07_CONCRETE_FIXED_S_RESIDUE_MODEL` | > | > PURPOSE: close R07 Gate B by replacing the schema-only `G_{p,nu}` / `Omega_{p,nu}` principal-sector discussion with one explicit inert-prime state model in which the second-face test, local density, finite Fourier expansion, pole signature and overlap injection are all evaluated. | > | > INPUTS: the symbolic inert-unit calculation of Stage13-12ag, the valuation decomposition of Stage13-13fg, and the fixed-twist analytic contract of Stage13-13fq. | Fix an inert prime | \[ | p\equiv3\pmod4. | \] | The local test attached to a tagged distinguished `q`-face is always the reduction modulo `p` of the **actual second-face square condition**. No unnamed auxiliary local predicate is used below. | --- | ## 1. Global tagged incidence and its reduction | For a distinguished integral face write | \[ | x^2+y^2=P^2, | \qquad | P^2+z^2=d^2, | \] | with the outer primitive parametri	SR-STR-185:2.74:Pairwise gcd support of integral witness factors; SR-STR-073:2.65:Space-filtered fixed-tau genus-one fiber; SR-STR-227:2.65:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-156:2.56:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-057:2.50:Toric master space-diagonal receiver on the two-face host; SR-STR-186:2.44:Balanced inert-prime quartic square-sieve dispatch	
SRC-0756E0EE277F	stages/stage13/archive/tasks/13-13fr/result.md	RESULT	RESEARCH_RESULT	# Stage13-13fr — result | R07 Gate B closes the concrete fixed-S residue-model objection raised against R06. | The repair uses one explicit inert-prime model throughout: | ```text | valuation strata: U, R_b, S_c | unit residue set: X^2+Y^2=1, Delta^2-Z^2=1 | second-face test: W_p=1_{X^2+Z^2 in QR_0(F_p)} | ``` | A true second integral face gives the global square `x^2+z^2=w^2`, hence reduces directly to `W_p=1`. Positive-valuation states pass automatically, while the unit stratum has exact accepted cardinality `(p+1)^2/2`, giving | ```text | alpha_p=(p+1)/(2(p-1)) | lambda_p=(p+5)/(2(p+1)). | ``` | The same physical state model is then used for the finite Fourier expansion, effective-character quotient, five-slot pole signature, principal residue and fixed-S multiplier. Equivalent ambient characters agree on every actual coefficient state, so the reduced pole signature is representative-independent. The full principal sector contributes exactly `product lambda_p`; every nonprincipal cl	SR-STR-151:2.85:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion gate; SR-STR-156:2.83:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-211:2.69:Diffuse common-core Gaussian norm-factor correlation and bilinear theorem gate; SR-STR-186:2.69:Balanced inert-prime quartic square-sieve dispatch; SR-STR-073:2.65:Space-filtered fixed-tau genus-one fiber; SR-STR-227:2.65:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law	SRC-F4C4521CAF2D|stages/stage13/archive/tasks/13-13b/result.md|SR-STR-031,SR-STR-227; SRC-E5931D885808|stages/stage13/archive/tasks/13-13fd/result.md|SR-STR-227; SRC-E23C616B64A2|stages/stage14/archive/tasks/14-s7-13/result.md|SR-STR-196; SRC-DE9B8953CBE7|stages/stage13/archive/tasks/13-12aa/result.md|SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227
SRC-4DD13664227C	stages/stage13/archive/tasks/13-13fs/curved-region-self-contained-closure.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	# Stage13-13fs — R07 curved-region self-contained closure | > STATUS: `STAGE13_13FS_R07_CURVED_REGION_CLOSURE` | > | > PURPOSE: close the final theorem-level R07 blocker by making the passage from local rectangular asymptotics and one-dimensional Vaaler approximation to the sharp curved physical region completely explicit in one proof-facing lemma. | > | > INPUTS: the zero/nonzero harmonic rectangle interfaces already established in Stage13, R07 Gate A (`13-13fq`) for the retained Hecke family, and R07 Gate B (`13-13fr`) for fixed-S residue refinements. | > | > SCOPE: geometry/error transfer only. No theorem constant is changed. | Write | \[ | \Lambda=\log B, | \qquad | H_0=U=e^{\Lambda^{1/4}}, | \qquad | \eta=\Lambda^{-8}, | \qquad | L=\lfloor\Lambda^4\rfloor, | \qquad | N=64. | \] | The physical region in the outer Pythagorean variables is | \[ | \mathscr D_B | = | \{(h,r,s): h(r^2+s^2)\le 2B\}, | \] | with the canonical parity and coprimality conditions understood. The core is | \[ 	SR-STR-156:2.56:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate; SR-STR-170:2.52:Reciprocal squareclass divisor-window transfer gate; SR-STR-141:2.50:Exactly-one-face ambient population order and Pythagorean scale mechanism; SR-STR-074:2.41:Physical-cutoff height transfer on a fixed-tau genus-one fiber; SR-STR-016:2.26:Mixed-parity C17 genus-one lower family; SR-STR-142:2.21:Ambient integral-space-diagonal cuboid asymptotic and zero-face dominance	
SRC-2F8E62DF2513	stages/stage13/archive/tasks/13-13fs/result.md	RESULT	RESEARCH_RESULT	# Stage13-13fs — result | R07 Gate C closes the final theorem-level blocker remaining after `13-13fq` and `13-13fr`. | The new proof-facing lemma is | ```text | stages/stage13/13-13fs/curved-region-self-contained-closure.md | ``` | and makes the full rectangle-to-curved-region route self-contained, including the point most vulnerable to misreading: Vaaler approximates only the one-dimensional inner-angle chamber indicator; the physical height cutoff is never Fourier-approximated and is instead handled by the multiplicative mesh and thin-shell argument. | ```text | STAGE13_13FS=COMPLETE_R07_CURVED_REGION_SELF_CONTAINED_CLOSURE | R07_GATE_C=COMPLETE | R07_CURVED_REGION_FULL_LEMMA_IN_REVIEW_TARGET=true | R07_PER_BOX_UNIFORMITY_EXPLICIT=true | R07_BOUNDARY_MESH_DERIVATION_EXPLICIT=true | R07_VAALER_TO_CURVED_REGION_ROUTE_EXPLICIT=true | R07_VAALER_APPLIES_ONLY_TO_INNER_ANGLE_INTERVALS=true | R07_PHYSICAL_CUTOFF_HANDLED_BY_MULTIPLICATIVE_SHELL=true | R07_VAALER_ENDPOINT_DISCRETE_CONVENTION_	SR-STR-219:1.39:Fixed-direction j=1728 fiber compression versus active-direction sparsity barrier; SR-STR-193:1.37:E-column Walsh collapse and root-sawtooth spacing closure; SR-STR-207:1.31:Nested primitive-slope acceptance and canonical two-factor density receiver; SR-STR-108:1.30:Explicit moduli map and geometric twist split; SR-STR-171:1.29:Localized unitary-divisor shadow gate; SR-STR-115:1.28:Two-to-one elliptic receiver with polynomial height transfer	SRC-F4C4521CAF2D|stages/stage13/archive/tasks/13-13b/result.md|SR-STR-031,SR-STR-227; SRC-E5931D885808|stages/stage13/archive/tasks/13-13fd/result.md|SR-STR-227; SRC-E23C616B64A2|stages/stage14/archive/tasks/14-s7-13/result.md|SR-STR-196; SRC-DE9B8953CBE7|stages/stage13/archive/tasks/13-12aa/result.md|SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227
SRC-378777AF1683	stages/stage13/archive/tasks/13-13ft/r07-hardening-lemma.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	# Stage13-13ft — R07 exact arithmetic and quantifier hardening | > STATUS: `STAGE13_13FT_R07_HARDENING` | > | > PURPOSE: complete the non-theorem-changing hardening obligations left after R07 Gates A–C. This note removes the remaining avoidable ambiguity in the explicit Wiener constants, retained-harmonic logarithmic moments, overlap squeeze quantifiers, and the frozen Stage12 factor-two interface. | > | > INPUTS: `13-13fb`, `13-13fe`, `13-13fq`, `13-13fr`, `13-13fs`. | No theorem constant changes in this stage. | --- | ## 1. Exact rational inequalities for the Wiener constants | The large split-prime coefficient estimate obtained in `13-13fb` is | \[ | \frac{3465625}{6561}. | \] | The comparison with `529` is exact, with no floating-point input: | \[ | 529\cdot6561=3470769, | \] | and | \[ | \boxed{3465625<3470769}. | \] | Therefore | \[ | \boxed{\frac{3465625}{6561}<529}. | \] | Likewise the exceptional split prime `p=5` gives exactly | \[ | \frac{10799919009}{25000000}. | \] | Since	SR-STR-015:1.99:R504 elliptic base-change exceptional Prym locus gate; SR-STR-216:1.86:Explicit Peyre-Tamagawa constant for the primitive exactly-two two-face ambient height; SR-STR-039:1.84:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-060:1.80:Constant-u bisection genus and physical-degeneration barrier; SR-STR-155:1.77:Fixed rational-curve sub-square-root ceiling and moving-family gate; SR-STR-116:1.73:Uniform bounded-height count on the moving elliptic receiver	
SRC-94D587F0C7D8	stages/stage13/archive/tasks/13-13ft/result.md	RESULT	RESEARCH_RESULT	# Stage13-13ft — result | R07 Gate D hardening is complete. This stage changes no theorem statement or constant. | The explicit Wiener comparisons are now exact integer inequalities: | ```text | 3465625 < 529*6561 = 3470769 | 10799919009 < 432*25000000 = 10800000000 | ``` | The phase-uniform weighted Wiener majorant is converted explicitly into logarithmic moments uniform in every retained `ell>=1`. The overlap squeeze is written in epsilon form with the order `choose fixed S -> B -> infinity -> enlarge S`. The frozen Stage12 factor two is stated at the correct object level: two oriented distinguished-face leg orders project to one canonical Stage13 incidence; they are not two canonical cuboids. | ```text | STAGE13_13FT=COMPLETE_R07_EXACT_ARITHMETIC_AND_QUANTIFIER_HARDENING | R07_GATE_D=COMPLETE | R07_GATES_A_B_C_D_COMPLETE=true | R07_REPAIR_BLOCKERS_OPEN=0 | R07_HARDENING_OBLIGATIONS_OPEN=0 | WIENER_529_PROVED_BY_INTEGER_INEQUALITY=true | WIENER_P5_432_PROVED_BY_INTEGER_INEQUALITY=tru	SR-STR-226:2.63:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-041:2.52:Oriented-record to canonical face-incidence projection; SR-STR-146:2.43:Current certified Euler-cuboid global envelope with unresolved true exponent; SR-STR-151:2.14:Exact-height Kummer-to-Jacobi receiver with moving-transverse-family dispersion gate; SR-STR-142:1.92:Ambient integral-space-diagonal cuboid asymptotic and zero-face dominance; SR-STR-155:1.91:Fixed rational-curve sub-square-root ceiling and moving-family gate	SRC-F4C4521CAF2D|stages/stage13/archive/tasks/13-13b/result.md|SR-STR-031,SR-STR-227; SRC-E5931D885808|stages/stage13/archive/tasks/13-13fd/result.md|SR-STR-227; SRC-E23C616B64A2|stages/stage14/archive/tasks/14-s7-13/result.md|SR-STR-196; SRC-DE9B8953CBE7|stages/stage13/archive/tasks/13-12aa/result.md|SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227
