sid	path	kind	role	preview	top_cards	basename_neighbors
SRC-29353DDF7796	stages/stage13/archive/tasks/13-12af/result.md	RESULT	RESEARCH_RESULT	# Stage13-12af — R03 external-review resynthesis | > STATUS: `STAGE13_12AF_COMPLETE_R03_REVIEW_RESYNTHESIS` | > | > MATHEMATICS CHANGED HERE: no new asymptotic theorem; this stage synthesizes the repaired proof and makes Qwen's R02 minor objections explicit in the current proof map | > | > REVIEW STATUS: `PENDING_EXTERNAL_R03` | Stage13-12af packages the post-R02 repairs into a new immutable single-file | Stage13-only review target.  R01 and R02 are not modified. | The authoritative proof entrypoint is | ```text | stages/stage13/13-12af/current-proof.md | ``` | and the physical review target is | ```text | review/STAGE13-FINAL-SELF-CONTAINED-20260809-R03.html | ``` | The R03 source precedence is | ```text | 13-12af/current-proof.md | 13-12ad/result.md | 13-12ae/result.md | 13-12aa/result.md | 13-12ab/result.md | 13-12ac/current-proof.md | historical Stage13 material | ``` | ## Review history carried into R03 | ```text | R01: OPEN | R02 Grok: OPEN | R02 Claude: REPAIRABLE | R02 Qwen: RE	SR-STR-135:1.54:Weighted exceptional-class adapter for the T route; SR-STR-108:1.49:Explicit moduli map and geometric twist split; SR-STR-217:1.38:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-187:1.37:Same-measure fixed-prime ordered-limit squareclass sieve; SR-STR-207:1.31:Nested primitive-slope acceptance and canonical two-factor density receiver; SR-STR-171:1.29:Localized unitary-divisor shadow gate	SRC-E23C616B64A2|stages/stage14/archive/tasks/14-s7-13/result.md|SR-STR-196; SRC-DE9B8953CBE7|stages/stage13/archive/tasks/13-12aa/result.md|SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227; SRC-CCF8EFFB1AE0|stages/stage14/archive/tasks/14-X13/result.md|SR-STR-201; SRC-C233DF1526F8|stages/stage13/archive/tasks/13-12ab/result.md|SR-STR-029,SR-STR-227
SRC-43D95E9569D3	stages/stage13/archive/tasks/13-12ag/result.md	RESULT	RESEARCH_RESULT	# Stage13-12ag — post-R03 proof-explicitness supplement | > STATUS: `STAGE13_12AG_COMPLETE_PROOF_EXPLICITNESS_SUPPLEMENT` | > | > PURPOSE: make three already-used steps independently checkable without changing the Stage13 theorem candidate | > | > FROZEN INPUT: Stage12 R09 | > | > REVIEWED SNAPSHOT: `STAGE13-FINAL-SELF-CONTAINED-20260809-R03` | > | > R03 REVIEW RECORD SUPPLIED TO THE PROJECT: Grok `CLOSED`, Qwen `CLOSED` | Stage13-12ag does **not** change the counting convention, the directional constants, the exact-one inclusion-exclusion argument, the fixed-prime overlap squeeze, or the R03 theorem candidate.  It is a post-review proof-explicitness supplement addressing three places where a future reader could reasonably ask for one more line of derivation: | 1. the coarea/Fubini step identifying the chamber integral `I_q` with an inner-angle interval-length integral; | 2. the exact inert-prime character sum behind the unit-state acceptance `(p+1)^2/2`; | 3. an explicit hypothesis ma	SR-STR-226:2.08:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-227:1.89:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-169:1.86:Correlation-only canonical-divisor/projective-mover transfer suite; SR-STR-145:1.83:Paired Gaussian-norm squareclass parity sieve for Stage19 zero density; SR-STR-185:1.83:Pairwise gcd support of integral witness factors; SR-STR-032:1.82:Exact shared-hypotenuse representation convolution	SRC-E23C616B64A2|stages/stage14/archive/tasks/14-s7-13/result.md|SR-STR-196; SRC-DE9B8953CBE7|stages/stage13/archive/tasks/13-12aa/result.md|SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227; SRC-CCF8EFFB1AE0|stages/stage14/archive/tasks/14-X13/result.md|SR-STR-201; SRC-C233DF1526F8|stages/stage13/archive/tasks/13-12ab/result.md|SR-STR-029,SR-STR-227
SRC-EE7549EBC7C3	stages/stage13/archive/tasks/13-12ah/result.md	RESULT	RESEARCH_RESULT	# Stage13-12ah — final downstream freeze bookkeeping | > STATUS: `STAGE13_12AH_COMPLETE_DOWNSTREAM_FREEZE` | > | > MATHEMATICAL CONTENT FROZEN AT: `c843e039306b40bd3693f89d6199da78c2fb4657` | > | > REVIEWED R03 SNAPSHOT: `STAGE13-FINAL-SELF-CONTAINED-20260809-R03` | > | > POST-R03 SUPPLEMENT: `stages/stage13/13-12ag/result.md` | Stage13-12ah performs repository freeze bookkeeping only. It adds no new mathematical implication, changes no counting convention, changes no theorem constant, and does not rewrite a reviewed R03 artifact. | The downstream mathematical content is frozen at the Stage13 state after Stage13-12ag, represented by commit | ```text | c843e039306b40bd3693f89d6199da78c2fb4657 | ``` | The freeze is intentionally separated from the external-review record. | --- | ## 1. External-review record | The project records only verdicts actually supplied to it: | ```text | R03 Grok    = CLOSED | R03 Qwen    = CLOSED | R03 Claude  = NOT_RECORDED | R03 Copilot = PENDING_FINAL_REVIEW 	SR-STR-206:1.48:Single-prime two-square influence and primitive projective-slope transport chain; SR-STR-171:1.43:Localized unitary-divisor shadow gate; SR-STR-199:1.39:Split-quartic agreement allocation and reciprocal Edwards-Cayley reduction; SR-STR-129:1.37:Missing T-to-MAIN measure adapter for weighted averaging; SR-STR-052:1.30:Gaussian quotient and cross-resultant dictionary; SR-STR-108:1.30:Explicit moduli map and geometric twist split	SRC-E23C616B64A2|stages/stage14/archive/tasks/14-s7-13/result.md|SR-STR-196; SRC-DE9B8953CBE7|stages/stage13/archive/tasks/13-12aa/result.md|SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227; SRC-CCF8EFFB1AE0|stages/stage14/archive/tasks/14-X13/result.md|SR-STR-201; SRC-C233DF1526F8|stages/stage13/archive/tasks/13-12ab/result.md|SR-STR-029,SR-STR-227
SRC-C44BB40760B2	stages/stage13/archive/tasks/13-13/roadmap.md	ROADMAP	PLANNED_OR_OPEN_STRUCTURE	# Stage13-13 — final proof hardening and freeze roadmap | > STATUS: `STAGE13_13F_R05_BLOCKED_R06_REQUIRED` | > | > PURPOSE: turn the reviewed Stage13 theorem candidate into one canonical, reproducible, freshly reviewed and finally frozen theorem package. | > | > IMPORTANT: the theorem/counting contract is unchanged unless a genuine defect is explicitly recorded. | ## Numeric-only dispatch | ```text | 13-13a 13-13b 13-13c 13-13d 13-13e 13-13f | 13-13fa 13-13fb 13-13fc 13-13fd 13-13fe 13-13ff 13-13fg 13-13fh 13-13fi 13-13fj | 13-13g | ``` | `13-13fj` remains the R05 external-review / repair-dispatch gate. R05 is now blocked and immutable; a repaired R06 is required before final freeze. | ## Frozen theorem candidate | ```text | Stage12 input: C_prim(B) ~ kappa/(12*pi) B(log B)^3 | N_q(B)       ~ kappa*I_q/(3*pi^3) B(log B)^3 | N1(B)        ~ kappa/(24*pi) B(log B)^3 | sum I_q      = pi^2/8 | J_q          = 2 I_q/pi | P_q          = 8 I_q/pi^2 | O_qr(B)      = o(B(log B)^3) | T(B)         	SR-STR-226:2.63:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-227:2.14:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-032:1.82:Exact shared-hypotenuse representation convolution; SR-STR-004:1.79:Space-diagonal one-face transition asymptotic; SR-STR-217:1.50:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-156:1.48:Yoshida face-cuboid generic-rank-zero and explicit-orbit height-sparsity gate	
SRC-1278175CBA48	stages/stage13/archive/tasks/13-13a/claim-dependency-ledger.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	# Stage13-13a — claim and dependency ledger | > STATUS: `STAGE13_13A_COMPLETE_CLAIM_DEPENDENCY_LEDGER` | > | > PURPOSE: freeze the exact Stage13 theorem statement and inventory every active proof dependency before canonical resynthesis. | > | > SCOPE: Stage13 R03 (`13-12af`) plus the post-review explicitness supplement (`13-12ag`), with Stage12 R09 treated only as a frozen upstream theorem input. | ## 1. Source precedence and active proof boundary | The active mathematical chain is: | ```text | Stage12 R09 frozen total theorem | | | v | 13-12aa  non-circular raw j=0 common-factor architecture | | | v | 13-12ad  quantitative Wiener / curved-region / harmonic closure | | | +-------------------+ | |                   | | v                   v | 13-12ae inert local states   13-12ag explicit coarea / character / theorem crosswalk | |                   | | +---------+---------+ | v | 13-12af R03 authoritative proof ordering | | | v | 13-13c future canonical resynthesis | ``` | R03 itself exp	SR-STR-226:1.66:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-032:1.43:Exact shared-hypotenuse representation convolution; SR-STR-039:1.43:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-042:1.35:Physical restrictions as monotone post-filters for upper bounds; SR-STR-211:1.34:Diffuse common-core Gaussian norm-factor correlation and bilinear theorem gate; SR-STR-108:1.30:Explicit moduli map and geometric twist split	
SRC-7ABF960F2716	stages/stage13/archive/tasks/13-13a/result.md	RESULT	RESEARCH_RESULT	# Stage13-13a — result | > STATUS: `STAGE13_13A_COMPLETE_CLAIM_DEPENDENCY_LEDGER` | > | > NEXT: `13-13b` | ## Result | Stage13 R03 plus the post-review `13-12ag` supplement have been decomposed into a 30-entry claim/dependency ledger before any canonical rewrite. | The audit freezes the theorem to be reproduced by `13-13c`: | \[ | N_q(B)\sim\frac{\kappa I_q}{3\pi^3}B(\log B)^3, | \qquad q\in\{ab,ac,bc\}, | \] | \[ | N_1(B)\sim\frac{\kappa}{24\pi}B(\log B)^3, | \] | with | \[ | I_{ab}+I_{ac}+I_{bc}=\frac{\pi^2}{8}, | \qquad | J_q=\frac{2I_q}{\pi}, | \qquad | P_q=\frac{8I_q}{\pi^2}. | \] | The exact inert-prime overlap multiplier is frozen as | \[ | \lambda_p=\frac{p+5}{2(p+1)}, | \] | and the overlap conclusions remain | \[ | O_{qr}(B)=o(B(\log B)^3), | \qquad | T(B)=o(B(\log B)^3). | \] | No perfect-cuboid nonexistence assumption is used. | ## Dependency boundary | Every active dependency is now classified as one of: | ```text | INTERNAL_PROOF | FROZEN_STAGE12_INPUT | STANDARD_EXTERNAL	SR-STR-227:2.90:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-217:2.12:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-032:2.08:Exact shared-hypotenuse representation convolution; SR-STR-186:2.08:Balanced inert-prime quartic square-sieve dispatch; SR-STR-146:2.05:Current certified Euler-cuboid global envelope with unresolved true exponent; SR-STR-226:1.94:Primitive oriented integral-space one-face incidence asymptotic	SRC-E23C616B64A2|stages/stage14/archive/tasks/14-s7-13/result.md|SR-STR-196; SRC-DE9B8953CBE7|stages/stage13/archive/tasks/13-12aa/result.md|SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227; SRC-CCF8EFFB1AE0|stages/stage14/archive/tasks/14-X13/result.md|SR-STR-201; SRC-C233DF1526F8|stages/stage13/archive/tasks/13-12ab/result.md|SR-STR-029,SR-STR-227
SRC-52E11A8760D5	stages/stage13/archive/tasks/13-13b/external-theorem-crosswalk.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	# Stage13-13b — external theorem and hypothesis crosswalk | > STATUS: `STAGE13_13B_COMPLETE_EXTERNAL_THEOREM_HYPOTHESIS_AUDIT` | > | > INPUT: merged `13-13a` claim/dependency ledger, immutable R03, `13-12ag` explicitness supplement, frozen Stage12 R09 theorem interface. | > | > PURPOSE: replace every generic phrase such as “standard Selberg--Delange/Hecke machinery” by an exact theorem boundary, verify the hypotheses actually used by Stage13, and eliminate external machinery that is stronger than necessary. | ## 1. Decision | The audit finds **no failed external hypothesis** and no theorem-level change. | It also finds that the active R03 proof can be made cleaner than its current wording: | 1. the quoted Gaussian-Hecke zero-free theorem is valid in the required polylogarithmic angular range, but it is not logically necessary for the nonzero-harmonic coefficient sum used by Stage13; | 2. the zero-mode `zeta^1` and `zeta^2` summatory expansions do not require a black-box general Selberg	SR-STR-226:2.36:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-217:2.12:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-129:1.89:Missing T-to-MAIN measure adapter for weighted averaging; SR-STR-031:1.84:Finite-order Selberg-Delange theorem contract; SR-STR-223:1.82:Moving genus-five triple gate and compatible paired-small-point interface; SR-STR-222:1.73:Fixed-U canonical-LPF projective Gaussian residue receiver chain	
SRC-F4C4521CAF2D	stages/stage13/archive/tasks/13-13b/result.md	RESULT	RESEARCH_RESULT	# Stage13-13b — result | > STATUS: `STAGE13_13B_COMPLETE_EXTERNAL_THEOREM_HYPOTHESIS_AUDIT` | > | > PURPOSE: close the external-theorem boundary identified by Stage13-13a before canonical proof resynthesis. | ## Decision | The 13-13a theorem contract survives unchanged.  Every external dependency used by the active R03 + `13-12ag` proof chain has now been mapped to a precise source/hypothesis/conclusion interface or discharged internally. | ```text | UNMAPPED_EXTERNAL_INPUTS=0 | FAILED_EXTERNAL_HYPOTHESES=0 | THEOREM_CHANGED=false | R03_MUTATED=false | STAGE12_R09_REOPENED=false | ``` | ## Minimal external boundary | The final Stage13 proof needs only: | 1. the frozen Stage12 R09 total primitive-oriented asymptotic; | 2. standard analytic continuation, functional equation and polynomial strip/conductor growth for the relevant fixed-field Dirichlet/Hecke `L`-functions; | 3. Vaaler's periodic interval trigonometric majorant/minorant. | The historical general Selberg--Delange invocation i	SR-STR-226:2.50:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-031:2.06:Finite-order Selberg-Delange theorem contract; SR-STR-146:1.92:Current certified Euler-cuboid global envelope with unresolved true exponent; SR-STR-217:1.88:Collective fixed-degree stratum proliferation reverse-count budget; SR-STR-039:1.84:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-222:1.67:Fixed-U canonical-LPF projective Gaussian residue receiver chain	SRC-E23C616B64A2|stages/stage14/archive/tasks/14-s7-13/result.md|SR-STR-196; SRC-DE9B8953CBE7|stages/stage13/archive/tasks/13-12aa/result.md|SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227; SRC-CCF8EFFB1AE0|stages/stage14/archive/tasks/14-X13/result.md|SR-STR-201; SRC-C233DF1526F8|stages/stage13/archive/tasks/13-12ab/result.md|SR-STR-029,SR-STR-227
SRC-7BF07E159F3B	stages/stage13/archive/tasks/13-13c/result.md	RESULT	RESEARCH_RESULT	# Stage13-13c — result | > STATUS: `STAGE13_13C_COMPLETE_CANONICAL_PROOF_RESYNTHESIS` | ## Decision | The Stage13 proof has been resynthesized into one canonical document: | ```text | stages/stage13/13-13c/stage13-final-proof.md | ``` | The resynthesis preserves the exact theorem contract frozen by 13-13a and the minimal external-theorem boundary fixed by 13-13b. | ```text | THEOREM_CHANGED=false | R03_REWRITTEN=false | STAGE12_R09_REOPENED=false | HISTORICAL_SUPERSEDED_ARGUMENT_REQUIRED=false | ``` | ## Canonical proof order | The new proof no longer requires the reader to follow the historical repair sequence. Its logical chain is: | ```text | definitions / exact inclusion-exclusion | -> exact Stage12 factor-two projection bridge | -> canonical chamber and Gelfand--Leray weights | -> exact J_q = 2 I_q / pi bridge | -> primitive j=0 local coefficient system | -> uniform weighted-Wiener mixed correction | -> special Perron/residue pole-order lemma | -> curved zero-mode main + Vaaler/no	SR-STR-226:2.08:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-142:1.92:Ambient integral-space-diagonal cuboid asymptotic and zero-face dominance; SR-STR-129:1.89:Missing T-to-MAIN measure adapter for weighted averaging; SR-STR-027:1.75:Weighted coprime rectangle convolution; SR-STR-005:1.67:No-space one-face to two-face transition asymptotic; SR-STR-213:1.62:Complementary-dilation bare unitary shadow versus conditional physical-completion deficit	SRC-E23C616B64A2|stages/stage14/archive/tasks/14-s7-13/result.md|SR-STR-196; SRC-DE9B8953CBE7|stages/stage13/archive/tasks/13-12aa/result.md|SR-STR-027,SR-STR-030,SR-STR-031,SR-STR-227; SRC-CCF8EFFB1AE0|stages/stage14/archive/tasks/14-X13/result.md|SR-STR-201; SRC-C233DF1526F8|stages/stage13/archive/tasks/13-12ab/result.md|SR-STR-029,SR-STR-227
SRC-897FB0917009	stages/stage13/archive/tasks/13-13c/stage13-final-proof.md	SUPPORTING_MATH_DOC	SUPPORTING_MATHEMATICS	# Stage13 — canonical final proof | > STATUS: `STAGE13_13C_CANONICAL_PROOF_RESYNTHESIS` | > | > PURPOSE: give one self-contained proof of the frozen Stage13 exactly-one directional asymptotic, without requiring the reader to reconstruct the R01/R02/R03 repair history. | > | > FROZEN INPUT: Stage12 R09 primitive-oriented total theorem. | > | > SOURCE LOCK: Stage13-13a claim/dependency ledger + Stage13-13b external-theorem audit + immutable R03 + the proof-explicitness content of Stage13-12ag. | > | > THEOREM CHANGED: `false`. | > | > R03 REWRITTEN: `false`. | --- | ## 0. The theorem and the proof boundary | Consider primitive canonical integer triples | \[ | 0<a<b<c, | \qquad \gcd(a,b,c)=1, | \qquad d^2=a^2+b^2+c^2, | \qquad d\in\mathbf Z_{>0}. | \] | For a face label | \[ | q\in\{ab,ac,bc\}, | \] | let `A_q(B)` be the number of such triples with `d<=B` for which the face `q` has integral diagonal, without excluding the possibility that another face is also integral. | For distinct face	SR-STR-226:3.19:Primitive oriented integral-space one-face incidence asymptotic; SR-STR-227:3.15:Canonical exactly-one directional chamber asymptotic and non-2:1:1 limit law; SR-STR-039:3.06:Stage14 integral-space exactly-two half-power upper theorem; SR-STR-142:2.80:Ambient integral-space-diagonal cuboid asymptotic and zero-face dominance; SR-STR-033:2.35:Mod-7 two-parameter exactly-one-face family; SR-STR-157:2.25:Complete rational degree-two base-change descent with split/nonsplit commuting-lift loci	
