# idx | source | path | top3 | named | locked
01 | SRC-C873EBD86FE4 | stages/stage14/archive/tasks/14-toolbox-ax/result.md | SR-STR-222,SR-STR-200,SR-STR-223 | Theta7Over24QuarterPhiCommonGcdCayleyGaussianQuotientEnergy;TwoThirdsCayleyGaussianCommonGcdRootProductIncidence;TopCornerOppositeSignedQuotientCommonGcdRootProductIncidence;FiveEighthsTwoBoundaryCommonCoreReciprocalIncidence | CURRENT_PHYSICAL_WHOLE_FAMILY_EXPONENT=5/8 ; CURRENT_GLOBAL_S_RECEIVER_PROVED=false ; CURRENT_FIXED_U_RECEIVER_PROVED=false ; TOOLBOX_ROUTE_BLOCKED=false ; NEW_AX_WHOLE_FAMILY_POWER_SAVING_PROVED=false ; NEXT=Stage14-toolbox-ay audit first 4cr/s7-31/t70 consumers against the five-eighths certificate
02 | SRC-AA8E7FE58AC0 | stages/stage14/archive/tasks/14-toolbox-ay/result.md | SR-STR-222,SR-STR-200,SR-STR-201 | TwoThirdsCayleyGaussianCommonGcdRootProductIncidence;FiveEighthsTwoBoundaryCommonCoreReciprocalIncidence;TopCornerCommonCoreXiGaussianSquareHostPrimitiveAgreementIncidence;TopCornerPrimitiveXiResidualGaussianCoreAgreementIncidence | CURRENT_PHYSICAL_WHOLE_FAMILY_EXPONENT=5/8 ; CURRENT_GLOBAL_TOOLBOX_RECEIVER_PROVED=false ; CURRENT_FIXED_U_RECEIVER_PROVED=false ; TOOLBOX_ROUTE_BLOCKED=false ; NEW_AY_WHOLE_FAMILY_POWER_SAVING_PROVED=false ; SQRT_B_UPPER_BOUND_PROVED=false ; NEXT=Stage14-toolbox-az audit first 4ct/X10/t72 consumers and tH19 outcome against the unique-top-corner certificate
03 | SRC-84EA2CB6089C | stages/stage14/archive/tasks/14-toolbox-az/result.md | SR-STR-222,SR-STR-200,SR-STR-201 | NineteenThirtyFourthsSingleCrossRootJointCoreTwinShortRowColumnIncidence;SharedUSmallOddKappaFixedTagSmallAngularGcdBalancedShortCoverTypeIIDispersionEnergy | T_ROUTE_BLOCKED=false ; CURRENT_PHYSICAL_WHOLE_FAMILY_EXPONENT=19/34 ; TOOLBOX_ROUTE_BLOCKED=false ; NEW_AZ_WHOLE_FAMILY_POWER_SAVING_PROVED=false ; SQRT_B_UPPER_BOUND_PROVED=false ; NEXT=Stage14-toolbox-ba audit first s7-37 and t75 consumers after they merge
04 | SRC-198CFD817856 | stages/stage14/archive/tasks/14-toolbox-ba/result.md | SR-STR-222,SR-STR-223,SR-STR-201 | TwentyThreeFortyFourthsZeroCrossRootFullCayleyCoreTwinShortFirstResidualQuotientIncidence;TwentyThreeFortyFourthsCrossRootFreeEqualCoreTwinOneTwentySecondLiftIncidence;SharedUBalancedRayActiveNearFullSupportCanonicalGaussianPrimeProjectiveCharacterHybridEnergy | CURRENT_PHYSICAL_WHOLE_FAMILY_EXPONENT=23/44 ; TOOLBOX_ROUTE_BLOCKED=false ; NEW_BA_WHOLE_FAMILY_POWER_SAVING_PROVED=false ; SQRT_B_UPPER_BOUND_PROVED=false ; NEXT=Stage14-toolbox-bb after first merged s7-40/4cy and t79 consumers
05 | SRC-38A7EED85531 | stages/stage14/archive/tasks/14-toolbox-bb/result.md | SR-STR-222,SR-STR-166,SR-STR-200 | SquareRootThetaQuarterGaussianNormDivisorSplitPhysicalAdmissibilityZeroFrequencyDensity;SharedUBalancedFixedUSelectorDivisorShortDeterminantQuotientCanonicalPrimeCoverBinaryNormEnergy | CURRENT_PHYSICAL_WHOLE_FAMILY_EXPONENT=1/2 ; SQRT_B_UPPER_BOUND_PROVED=true ; STRICT_SUBSQRT_POWER_SAVING_PROVED=false ; TOOLBOX_ROUTE_BLOCKED=false ; NEW_BB_WHOLE_FAMILY_POWER_SAVING_PROVED=false ; NEXT=Stage14-toolbox-bc after first merged 4dH/t83 consumers
06 | SRC-0C2BEE49B649 | stages/stage14/archive/tasks/14-toolbox-bc/result.md | SR-STR-222,SR-STR-203,SR-STR-225 | CenteredSquareRootQuarterScaleSixBlockPairwiseSeparatedGaussianNormRotatedCoordinateProductDualBalancedCellFactorizationPhysicalDispersion;SharedUEndpointSmallSelectorProjectiveRingClassShortGaussianCofactorCanonicalPrimePhysicalIncidenceEnergy | CURRENT_PHYSICAL_WHOLE_FAMILY_EXPONENT=1/2 ; SQRT_B_UPPER_BOUND_PROVED=true ; STRICT_SUBSQRT_POWER_SAVING_PROVED=false ; S_ROUTE_BLOCKED_WAITING_FOR_H=false ; T_ROUTE_BLOCKED_WAITING_FOR_H=false ; TOOLBOX_ROUTE_BLOCKED=false ; NEW_BC_WHOLE_FAMILY_POWER_SAVING_PROVED=false
07 | SRC-1066161391D1 | stages/stage14/data/14-1/enumeration_output_spec.json | SR-STR-222,SR-STR-223,SR-STR-206 | - | 
08 | SRC-1B41B07793E7 | stages/stage14/data/14-1/stage13_pair_interface.json | SR-STR-146,SR-STR-141,SR-STR-222 | - | 
09 | SRC-D26DDD0C9489 | stages/stage14/data/14-2/extended_census_report.json | SR-STR-223,SR-STR-222,SR-STR-141 | - | 
10 | SRC-3826E1556427 | stages/stage14/data/14-2/final_census_audit.json | SR-STR-222,SR-STR-154,SR-STR-223 | - | 
11 | SRC-3461E40D2E98 | stages/stage14/data/14-2/historical_reproduction_report.json | SR-STR-223,SR-STR-222,SR-STR-141 | - | 
12 | SRC-A395BD8B306F | stages/stage14/data/14-2/shared_leg_crosscheck_report.json | SR-STR-038,SR-STR-223,SR-STR-144 | - | 
13 | SRC-A0641BDCBDF2 | stages/stage14/data/14-3/directional_ledger.json | SR-STR-222,SR-STR-154,SR-STR-196 | - | 
14 | SRC-1EA5BB8CFF32 | stages/stage14/data/14-3/final_finite_reconnaissance.json | SR-STR-222,SR-STR-223,SR-STR-219 | - | 
15 | SRC-D9EEA22AD1CC | stages/stage14/data/14-3/late_range_densification.json | SR-STR-222,SR-STR-154,SR-STR-200 | - | 
16 | SRC-887730DAF772 | stages/stage14/data/14-4/architecture_barrier_joint_receiver_summary.json | SR-STR-222,SR-STR-164,SR-STR-223 | - | "current_physical_upper_bound_exponent": "20/21", ; "sqrt_B_upper_bound_proved": false,
17 | SRC-5D23690BF1CB | stages/stage14/data/14-4/auxiliary_state_dispersion_summary.json | SR-STR-222,SR-STR-165,SR-STR-219 | - | "second_moment_proved": false
18 | SRC-1E730EF2F673 | stages/stage14/data/14-4/bijection_audit.json | SR-STR-181,SR-STR-037,SR-STR-223 | - | 
19 | SRC-1FC93A626433 | stages/stage14/data/14-4/cayley_annulus_collapse_23_44_summary.json | SR-STR-201,SR-STR-202,SR-STR-222 | TwentyThreeFortyFourthsCayleyAnnulusCollapseLostCoreColumnRowLiftTradeoff | "current_physical_upper_bound_exponent": "23/44", ; "remaining_receiver": "TwentyThreeFortyFourthsCayleyAnnulusCollapseLostCoreColumnRowLiftTradeoff",
20 | SRC-98A4E43CB24A | stages/stage14/data/14-4/centered_principal_covariance_summary.json | SR-STR-204,SR-STR-222,SR-STR-208 | ConditionallyCenteredPrimitiveQuarterPairProductNormDualBalancedCellFactorizationDispersionWithPrincipalDensityControl | "conditional_centering_identity_proved": true, ; "principal_term_fixed_power_saving_proved": false, ; "remaining_receiver": "ConditionallyCenteredPrimitiveQuarterPairProductNormDualBalancedCellFactorizationDispersionWithPrincipalDensityControl", ; "current_physical_upper_bound_exponent": "1/2",
21 | SRC-8F3D600D1C24 | stages/stage14/data/14-4/character_gate_matrix_summary.json | SR-STR-222,SR-STR-165,SR-STR-162 | - | "ACTIVE_VERTEX_SQRT_B_ASYMPTOTIC_PROVED": false,
22 | SRC-39687FACD8D4 | stages/stage14/data/14-4/character_global_height_transfer_summary.json | SR-STR-223,SR-STR-222,SR-STR-191 | - | "FAMILY_LARGE_SIEVE_THEOREM_PROVED": false, ; "UNIFORM_FIRST_SMALL_POINT_LOWER_TAIL_PROVED": false, ; "ACTIVE_VERTEX_SQRT_B_ASYMPTOTIC_PROVED": false,
23 | SRC-66DA360B3F13 | stages/stage14/data/14-4/collective_first_hit_summary.json | SR-STR-223,SR-STR-162,SR-STR-222 | - | "POSITIVE_RANK_DENSITY_PROVED": false, ; "UNIFORM_FIRST_SMALL_POINT_LOWER_TAIL_PROVED": false, ; "ACTIVE_VERTEX_SQRT_B_ASYMPTOTIC_PROVED": false,
24 | SRC-C0601DA5866C | stages/stage14/data/14-4/composite_kernel_incidence_summary.json | SR-STR-225,SR-STR-222,SR-STR-162 | - | "COMPOSITE_EDGE_RECTANGLE_BOUND_PROVED": true, ; "FULL_DIRECT_POST_LOCAL_POSITIVE_SAVING_PROVED": false, ; "SQRT_B_UPPER_BOUND_PROVED": false, ; "SQRT_B_ASYMPTOTIC_PROVED": false
25 | SRC-CFE72235FF8D | stages/stage14/data/14-4/coupled_residual_common_core_summary.json | SR-STR-198,SR-STR-201,SR-STR-222 | CoupledCommonCoreGaussianResidualIncidence | "physical_lift_from_common_core_residual_data_Bo1_proved": false, ; "current_physical_upper_bound_exponent": "7/8", ; "new_whole_family_power_saving_proved": false,
26 | SRC-48A7C3BBEF8F | stages/stage14/data/14-4/cross_root_first_sqrt_summary.json | SR-STR-202,SR-STR-201,SR-STR-200 | SquareRootThetaQuarterGloballyOddPrimitiveFullJointCoreSingleColumnIncidence | "current_physical_upper_bound_exponent": "1/2", ; "sqrt_b_upper_bound_proved": true, ; "new_whole_family_power_saving_proved": false, ; "strict_sub_sqrt_power_saving_proved": false,
27 | SRC-A79C5296C6FB | stages/stage14/data/14-4/cross_root_square_row_reduction_23_44_summary.json | SR-STR-201,SR-STR-202,SR-STR-200 | TwentyThreeFortyFourthsCrossRootFreeEqualCoreTwinOneTwentySecondLiftIncidence | "current_physical_upper_bound_exponent": "23/44", ; "remaining_receiver": "TwentyThreeFortyFourthsCrossRootFreeEqualCoreTwinOneTwentySecondLiftIncidence",
28 | SRC-93A78041978E | stages/stage14/data/14-4/cross_sector_gcd_cell_summary.json | SR-STR-222,SR-STR-177,SR-STR-086 | - | "current_physical_upper_bound_exponent": "41/42", ; "full_direct_post_local_positive_saving_proved": false, ; "sqrt_B_upper_bound_proved": false, ; "sqrt_B_asymptotic_proved": false,
